user_id,username,balance,account_opened,city,mobile,account_number,aadhar
1,user1,72936.46,2024-09-30,Sandraport,xxxxxxx376,xxxxxxx105,251076352410
2,user2,9228.98,2024-03-03,Tommyberg,xxxxxxx873,xxxxxxx467,782929486074
3,user3,32317.01,2020-10-18,North Steven,xxxxxxx232,xxxxxxx585,705268388850
4,user4,51630.18,2022-12-14,West Wesleyville,xxxxxxx211,xxxxxxx548,359617532625
5,user5,50332.79,2022-12-20,Michelleland,xxxxxxx765,xxxxxxx205,561723708031
6,user6,40068.73,2024-11-29,North Samuelbury,xxxxxxx615,xxxxxxx388,180540413707
7,user7,35590.88,2023-06-26,Tiffanymouth,xxxxxxx853,xxxxxxx692,265649987756
8,user8,62603.69,2023-08-02,West Benjaminton,xxxxxxx569,xxxxxxx384,956239818872
9,user9,2077.27,2024-11-28,Lake Ashley,xxxxxxx505,xxxxxxx721,846071497124
10,user10,26286.06,2023-12-31,Port Barbara,xxxxxxx568,xxxxxxx288,167374431924
11,user11,31012.24,2023-07-21,South Colleenstad,xxxxxxx515,xxxxxxx728,748961108354
12,user12,33245.81,2022-03-11,North Mckenzie,xxxxxxx918,xxxxxxx940,534312632953
13,user13,98041.57,2022-02-08,South Darrell,xxxxxxx741,xxxxxxx600,903031864469
14,user14,61149.3,2024-11-17,Port Carlstad,xxxxxxx764,xxxxxxx687,638814497772
15,user15,24181.92,2023-03-25,Bartonfurt,xxxxxxx899,xxxxxxx656,940501717690
16,user16,76301.59,2020-08-29,South Margaret,xxxxxxx442,xxxxxxx302,347128067062
17,user17,14158.9,2020-06-29,Lake Vincent,xxxxxxx745,xxxxxxx541,542838814152
18,user18,86636.51,2024-03-01,North Justintown,xxxxxxx113,xxxxxxx108,588936021164
19,user19,88414.06,2024-09-11,Larryshire,xxxxxxx721,xxxxxxx224,565114873535
20,user20,60244.86,2021-01-07,Gonzalezborough,xxxxxxx710,xxxxxxx354,163741254451
21,user21,53389.7,2025-02-02,South Deborahside,xxxxxxx732,xxxxxxx433,550943340793
22,user22,11000.96,2022-02-16,West Nancyport,xxxxxxx955,xxxxxxx553,565792494361
23,user23,91333.8,2024-01-30,South Elizabeth,xxxxxxx306,xxxxxxx700,318442311587
24,user24,38347.41,2022-04-01,Thomasville,xxxxxxx952,xxxxxxx146,244714343766
25,user25,25076.63,2021-09-22,East Krystal,xxxxxxx669,xxxxxxx372,283674447174
26,user26,18722.35,2021-11-24,Brownton,xxxxxxx147,xxxxxxx215,687962515042
27,user27,86866.65,2020-08-10,Kennedyborough,xxxxxxx834,xxxxxxx171,110248332140
28,user28,71691.43,2024-04-30,Mejiamouth,xxxxxxx987,xxxxxxx939,327930637525
29,user29,83201.67,2025-02-02,West Reginaborough,xxxxxxx806,xxxxxxx852,778067335042
30,user30,29385.34,2021-06-25,Emilytown,xxxxxxx889,xxxxxxx669,713904039681
31,user31,78609.98,2023-03-20,New Jessicastad,xxxxxxx489,xxxxxxx463,618045535412
32,user32,32964.98,2021-04-17,Garciachester,xxxxxxx530,xxxxxxx134,931558415253
33,user33,83436.12,2020-06-26,Marystad,xxxxxxx623,xxxxxxx683,867951460658
34,user34,26009.03,2022-05-28,East Briana,xxxxxxx847,xxxxxxx444,540644427700
35,user35,29499.97,2020-11-16,South Christopherstad,xxxxxxx375,xxxxxxx265,398116658665
36,user36,44899.77,2023-07-21,South Donaldborough,xxxxxxx477,xxxxxxx412,524312479222
37,user37,66356.33,2021-05-04,Rojasland,xxxxxxx251,xxxxxxx472,701511477038
38,user38,84419.29,2025-05-11,New Joseport,xxxxxxx494,xxxxxxx392,316731211662
39,user39,49731.32,2024-04-10,Lake Melanieport,xxxxxxx301,xxxxxxx417,539214798583
40,user40,58533.4,2023-11-24,Morganstad,xxxxxxx506,xxxxxxx892,817613332385
41,user41,83223.95,2021-09-06,Danielmouth,xxxxxxx794,xxxxxxx535,199550287248
42,user42,19499.08,2020-11-09,North Stephaniefort,xxxxxxx714,xxxxxxx739,120650426761
43,user43,41880.35,2025-04-30,Lake Robert,xxxxxxx384,xxxxxxx390,215628898650
44,user44,88043.67,2021-07-12,East Brianview,xxxxxxx507,xxxxxxx883,455479846694
45,user45,77407.46,2020-07-16,Alanhaven,xxxxxxx784,xxxxxxx468,195987783296
46,user46,26963.94,2022-03-08,Michaelshire,xxxxxxx316,xxxxxxx923,134383397098
47,user47,99048.29,2024-10-14,North Melissaville,xxxxxxx587,xxxxxxx445,877169026223
48,user48,38916.87,2022-02-11,East Cherylberg,xxxxxxx387,xxxxxxx637,336716802058
49,user49,70821.52,2022-05-07,East Kevin,xxxxxxx461,xxxxxxx126,190442636181
50,user50,50037.93,2024-02-22,New Hollyville,xxxxxxx817,xxxxxxx798,985078199597
51,user51,94573.39,2024-08-20,Deborahborough,xxxxxxx479,xxxxxxx269,524951526625
52,user52,94746.1,2025-03-08,New Jonport,xxxxxxx983,xxxxxxx570,746808576300
53,user53,22384.19,2022-11-13,Leonardstad,xxxxxxx346,xxxxxxx852,497893057718
